,frac_train,train_count,test_accuracy,test_mean_prec_macro,test_mean_recall_macro
0,0.01,57,0.5516666666666666,0.33831447336131815,0.33812779295064527
1,0.05,292,0.7466666666666667,0.5540574042652124,0.45148772931484354
2,0.1,588,0.79,0.5783968764203408,0.4430765782627441
3,0.2,1177,0.7716666666666666,0.545098431191189,0.5362513111515067
4,0.3,1768,0.8116666666666666,0.5771710901477686,0.5254767583185377
5,0.4,2358,0.7966666666666666,0.6518985333151519,0.5764724007065543
6,0.5,2960,0.795,0.6832555542552011,0.5748993059547891
7,0.6,3547,0.8233333333333334,0.6431601476606502,0.6067529857573853
8,0.7,4137,0.8083333333333333,0.698074175783754,0.5778443506410671
9,0.8,4728,0.795,0.6416036997173462,0.5646522609396893
10,0.9,5318,0.8233333333333334,0.6472258311930171,0.6014518250530876
